Day_of_Week,Month,Quarter,SMA_1,SMA_3,SMA_6,Lag_1,Lag_3,Lag_6,Receipt_Count
Saturday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,8059526
Sunday,1,1,7629951.933333334,8820512.358909093,8817053.474504504,7564766.0,8505037.210909091,8190745.324324325,7838129
Monday,2,1,7639064.033333333,8820512.358909093,8817053.474504504,7455524.0,8505037.210909091,8190745.324324325,7714465
Tuesday,2,1,7647695.4,8820512.358909093,8817053.474504504,7095414.0,8505037.210909091,8190745.324324325,7766408
Wednesday,2,1,7670061.866666666,8820512.358909093,8817053.474504504,7666163.0,8505037.210909091,8190745.324324325,7832259
Thursday,2,1,7675598.4,8820512.358909093,8817053.474504504,7771289.0,8505037.210909091,8190745.324324325,7506461
Friday,2,1,7666770.8,8820512.358909093,8817053.474504504,7473320.0,8505037.210909091,8190745.324324325,7816477
Saturday,2,1,7678209.366666666,8820512.358909093,8817053.474504504,7832624.0,8505037.210909091,8190745.324324325,7360372
Sunday,2,1,7662467.633333334,8820512.358909093,8817053.474504504,7765028.0,8505037.210909091,8190745.324324325,8039414
Monday,2,1,7671613.833333333,8820512.358909093,8817053.474504504,7385245.0,8505037.210909091,8190745.324324325,7858632
Tuesday,2,1,7687393.4,8820512.358909093,8817053.474504504,7392087.0,8505037.210909091,8190745.324324325,7810951
Wednesday,2,1,7701355.533333333,8820512.358909093,8817053.474504504,7738899.0,8505037.210909091,8190745.324324325,7579882
Thursday,2,1,7696054.966666667,8820512.358909093,8817053.474504504,7840830.0,8505037.210909091,8190745.324324325,8127696
Friday,2,1,7705617.166666667,8820512.358909093,8817053.474504504,8122546.0,8505037.210909091,8190745.324324325,7748085
Saturday,2,1,7693135.133333334,8820512.358909093,8817053.474504504,7694195.0,8505037.210909091,8190745.324324325,8117805
Sunday,2,1,7707255.466666667,8820512.358909093,8817053.474504504,7200595.0,8505037.210909091,8190745.324324325,7780006
Monday,2,1,7726569.166666667,8820512.358909093,8817053.474504504,7744470.0,8505037.210909091,8190745.324324325,7916028
Tuesday,2,1,7732287.766666667,8820512.358909093,8817053.474504504,7610648.0,8505037.210909091,8190745.324324325,7736671
Wednesday,2,1,7736488.533333333,8820512.358909093,8817053.474504504,7880913.0,8505037.210909091,8190745.324324325,8082781
Thursday,2,1,7743217.466666667,8820512.358909093,8817053.474504504,7250032.0,8505037.210909091,8190745.324324325,7824063
Friday,2,1,7762351.833333333,8820512.358909093,8817053.474504504,7666397.0,8505037.210909091,8190745.324324325,7761256
Saturday,2,1,7765513.8,8820512.358909093,8817053.474504504,7742477.0,8505037.210909091,8190745.324324325,7821879
Sunday,2,1,7768160.533333333,8820512.358909093,8817053.474504504,7807438.0,8505037.210909091,8190745.324324325,7760399
Monday,2,1,7766592.566666666,8820512.358909093,8817053.474504504,7603625.0,8505037.210909091,8190745.324324325,8330147
Tuesday,2,1,7790809.966666667,8820512.358909093,8817053.474504504,7572947.0,8505037.210909091,8190745.324324325,8053953
Wednesday,2,1,7806843.5,8820512.358909093,8817053.474504504,7598153.0,8505037.210909091,8190745.324324325,7816117
Thursday,2,1,7814108.966666667,8820512.358909093,8817053.474504504,7194687.0,8505037.210909091,8190745.324324325,8156649
Friday,2,1,7846174.366666666,8820512.358909093,8817053.474504504,7787109.0,8505037.210909091,8190745.324324325,7857443
Saturday,2,1,7848518.833333333,8820512.358909093,8817053.474504504,7631075.0,8505037.210909091,8190745.324324325,7881212
Sunday,2,1,7856856.733333333,8820512.358909093,8817053.474504504,7750536.0,8505037.210909091,8190745.324324325,7975949
Monday,3,1,7864370.5,8820512.358909093,8817053.474504504,8059526.0,8505037.210909091,8190745.324324325,7970632
Tuesday,3,1,7861407.366666666,8820512.358909093,8817053.474504504,7838129.0,8505037.210909091,8190745.324324325,7998865
Wednesday,3,1,7866765.233333333,8820512.358909093,8817053.474504504,7714465.0,8505037.210909091,8190745.324324325,7748662
Thursday,3,1,7867905.133333334,8820512.358909093,8817053.474504504,7766408.0,8505037.210909091,8190745.324324325,8080043
Friday,3,1,7878359.633333334,8820512.358909093,8817053.474504504,7832259.0,8505037.210909091,8190745.324324325,7971011
Saturday,3,1,7882984.7,8820512.358909093,8817053.474504504,7506461.0,8505037.210909091,8190745.324324325,8309959
Sunday,3,1,7909767.966666667,8820512.358909093,8817053.474504504,7816477.0,8505037.210909091,8190745.324324325,7945271
Monday,3,1,7914061.1,8820512.358909093,8817053.474504504,7360372.0,8505037.210909091,8190745.324324325,8352635
Tuesday,3,1,7947136.533333333,8820512.358909093,8817053.474504504,8039414.0,8505037.210909091,8190745.324324325,7861647
Wednesday,3,1,7941210.966666667,8820512.358909093,8817053.474504504,7858632.0,8505037.210909091,8190745.324324325,7920726
Thursday,3,1,7943280.766666667,8820512.358909093,8817053.474504504,7810951.0,8505037.210909091,8190745.324324325,7921232
Friday,3,1,7946956.8,8820512.358909093,8817053.474504504,7579882.0,8505037.210909091,8190745.324324325,8142874
Saturday,3,1,7965723.2,8820512.358909093,8817053.474504504,8127696.0,8505037.210909091,8190745.324324325,7731725
Sunday,3,1,7952524.166666667,8820512.358909093,8817053.474504504,7748085.0,8505037.210909091,8190745.324324325,8070687
Monday,3,1,7963277.566666666,8820512.358909093,8817053.474504504,8117805.0,8505037.210909091,8190745.324324325,7825047
Tuesday,3,1,7953518.966666667,8820512.358909093,8817053.474504504,7780006.0,8505037.210909091,8190745.324324325,7920469
Wednesday,3,1,7958201.066666666,8820512.358909093,8817053.474504504,7916028.0,8505037.210909091,8190745.324324325,7946897
Thursday,3,1,7959230.033333333,8820512.358909093,8817053.474504504,7736671.0,8505037.210909091,8190745.324324325,8090998
Friday,3,1,7971040.933333334,8820512.358909093,8817053.474504504,8082781.0,8505037.210909091,8190745.324324325,8415152
Saturday,3,1,7982119.966666667,8820512.358909093,8817053.474504504,7824063.0,8505037.210909091,8190745.324324325,8325436
Sunday,3,1,7998832.4,8820512.358909093,8817053.474504504,7761256.0,8505037.210909091,8190745.324324325,8105278
Monday,3,1,8010299.8,8820512.358909093,8817053.474504504,7821879.0,8505037.210909091,8190745.324324325,7562433
Tuesday,3,1,8001651.6,8820512.358909093,8817053.474504504,7760399.0,8505037.210909091,8190745.324324325,8096085
Wednesday,3,1,8012841.133333334,8820512.358909093,8817053.474504504,8330147.0,8505037.210909091,8190745.324324325,8034268
Thursday,3,1,8002978.5,8820512.358909093,8817053.474504504,8053953.0,8505037.210909091,8190745.324324325,8050876
Friday,3,1,8002875.933333334,8820512.358909093,8817053.474504504,7816117.0,8505037.210909091,8190745.324324325,8077321
Saturday,3,1,8011582.733333333,8820512.358909093,8817053.474504504,8156649.0,8505037.210909091,8190745.324324325,7999117
Sunday,3,1,8006331.666666667,8820512.358909093,8817053.474504504,7857443.0,8505037.210909091,8190745.324324325,8082481
Monday,3,1,8013832.933333334,8820512.358909093,8817053.474504504,7881212.0,8505037.210909091,8190745.324324325,8126444
Tuesday,3,1,8022007.333333333,8820512.358909093,8817053.474504504,7975949.0,8505037.210909091,8190745.324324325,7911341
Wednesday,3,1,8019853.733333333,8820512.358909093,8817053.474504504,7970632.0,8505037.210909091,8190745.324324325,8013013
Thursday,4,2,8021266.433333334,7837541.911111111,8817053.474504504,7998865.0,7564766.0,8190745.324324325,8353242
Friday,4,2,8033079.0,7846302.755555555,8817053.474504504,7748662.0,7455524.0,8190745.324324325,8042185
Saturday,4,2,8042863.1,7852821.211111112,8817053.474504504,8080043.0,7095414.0,8190745.324324325,8401675
Sunday,4,2,8053584.166666667,7867335.222222222,8817053.474504504,7971011.0,7666163.0,8190745.324324325,8134408
Monday,4,2,8059030.733333333,7872537.944444444,8817053.474504504,8309959.0,7771289.0,8190745.324324325,8422480
Tuesday,4,2,8062781.433333334,7879773.4,8817053.474504504,7945271.0,7473320.0,8190745.324324325,8140096
Wednesday,4,2,8069275.6,7887182.022222222,8817053.474504504,8352635.0,7832624.0,8190745.324324325,8385138
Thursday,4,2,8070359.033333333,7893321.066666666,8817053.474504504,7861647.0,7765028.0,8190745.324324325,8619576
Friday,4,2,8095623.333333333,7902816.044444445,8817053.474504504,7920726.0,7385245.0,8190745.324324325,7961949
Saturday,4,2,8096997.433333334,7909223.866666666,8817053.474504504,7921232.0,7392087.0,8190745.324324325,8388608
Sunday,4,2,8112576.633333334,7920296.322222223,8817053.474504504,8142874.0,7738899.0,8190745.324324325,8458290
Monday,4,2,8123090.5,7928289.555555556,8817053.474504504,7731725.0,7840830.0,8190745.324324325,8206730
Tuesday,4,2,8138924.0,7932355.111111111,8817053.474504504,8070687.0,8122546.0,8190745.324324325,8319338
Wednesday,4,2,8147212.366666666,7934541.688888889,8817053.474504504,7825047.0,7694195.0,8190745.324324325,8726486
Thursday,4,2,8177260.333333333,7946011.588888889,8817053.474504504,7920469.0,7200595.0,8190745.324324325,8342572
Friday,4,2,8191330.433333334,7958700.222222222,8817053.474504504,7946897.0,7744470.0,8190745.324324325,8438884
Saturday,4,2,8207730.0,7966415.933333334,8817053.474504504,8090998.0,7610648.0,8190745.324324325,8186918
Sunday,4,2,8210927.333333333,7972818.933333334,8817053.474504504,8415152.0,7880913.0,8190745.324324325,8195134
Monday,4,2,8203593.4,7976310.277777778,8817053.474504504,8325436.0,7250032.0,8190745.324324325,8366630
Tuesday,4,2,8204966.533333333,7988716.922222222,8817053.474504504,8105278.0,7666397.0,8190745.324324325,8282495
Wednesday,4,2,8210873.766666667,7995562.455555555,8817053.474504504,7562433.0,7742477.0,8190745.324324325,8641338
Thursday,4,2,8246837.266666667,8005549.8,8817053.474504504,8096085.0,7807438.0,8190745.324324325,8521710
Friday,4,2,8261024.766666667,8013486.155555556,8817053.474504504,8034268.0,7603625.0,8190745.324324325,8255078
Saturday,4,2,8268385.1,8020724.522222222,8817053.474504504,8050876.0,7572947.0,8190745.324324325,8221890
Sunday,4,2,8274085.566666666,8027935.0,8817053.474504504,8077321.0,7598153.0,8190745.324324325,8509398
Monday,4,2,8288488.133333334,8038059.944444444,8817053.474504504,7999117.0,7194687.0,8190745.324324325,8055670
Tuesday,4,2,8290373.233333333,8047626.422222222,8817053.474504504,8082481.0,7787109.0,8190745.324324325,8266410
Wednesday,4,2,8296504.2,8052951.988888889,8817053.474504504,8126444.0,7631075.0,8190745.324324325,8367438
Thursday,4,2,8304537.333333333,8061133.8,8817053.474504504,7911341.0,7750536.0,8190745.324324325,8704248
Friday,4,2,8330967.566666666,8071730.6,8817053.474504504,8013013.0,8059526.0,8190745.324324325,8728816
Saturday,5,2,8354827.666666667,8079167.155555556,8817053.474504504,8353242.0,7838129.0,8190745.324324325,8231674
Sunday,5,2,8350775.4,8083539.877777778,8817053.474504504,8042185.0,7714465.0,8190745.324324325,8278534
Monday,5,2,8358653.7,8089807.311111111,8817053.474504504,8401675.0,7766408.0,8190745.324324325,8727522
Tuesday,5,2,8369515.266666667,8100486.355555556,8817053.474504504,8134408.0,7832259.0,8190745.324324325,8649710
Wednesday,5,2,8386692.0,8109569.144444444,8817053.474504504,8422480.0,7506461.0,8190745.324324325,8519563
Thursday,5,2,8389928.1,8120825.833333333,8817053.474504504,8140096.0,7816477.0,8190745.324324325,8435867
Friday,5,2,8399787.133333333,8127707.944444444,8817053.474504504,8385138.0,7360372.0,8190745.324324325,8227322
Saturday,5,2,8394526.6,8137340.722222222,8817053.474504504,8619576.0,8039414.0,8190745.324324325,8383810
Sunday,5,2,8386667.733333333,8141167.344444444,8817053.474504504,7961949.0,7858632.0,8190745.324324325,8109287
Monday,5,2,8391579.0,8143952.4,8817053.474504504,8388608.0,7810951.0,8190745.324324325,8518147
Tuesday,5,2,8395896.966666667,8151810.133333334,8817053.474504504,8458290.0,7579882.0,8190745.324324325,8472640
Wednesday,5,2,8396375.3,8161729.666666667,8817053.474504504,8206730.0,8127696.0,8190745.324324325,8359580
Thursday,5,2,8401470.3,8164306.155555556,8817053.474504504,8319338.0,7748085.0,8190745.324324325,8262562
Friday,5,2,8399577.766666668,8170022.566666666,8817053.474504504,8726486.0,8117805.0,8190745.324324325,8503389
Saturday,5,2,8392141.2,8174306.833333333,8817053.474504504,8342572.0,7780006.0,8190745.324324325,8498352
Sunday,5,2,8397333.866666667,8182288.455555555,8817053.474504504,8438884.0,7916028.0,8190745.324324325,9066670
Monday,5,2,8418260.066666666,8195073.366666666,8817053.474504504,8186918.0,7736671.0,8190745.324324325,8744235
Tuesday,5,2,8436837.3,8206268.522222222,8817053.474504504,8195134.0,8082781.0,8190745.324324325,8688343
Wednesday,5,2,8453277.6,8212996.988888889,8817053.474504504,8366630.0,7824063.0,8190745.324324325,8475700
Thursday,5,2,8456913.266666668,8220237.4,8817053.474504504,8282495.0,7761256.0,8190745.324324325,8471826
Friday,5,2,8463224.3,8228132.622222222,8817053.474504504,8641338.0,7821879.0,8190745.324324325,9020316
Saturday,5,2,8475856.9,8241448.588888889,8817053.474504504,8521710.0,7760399.0,8190745.324324325,8399861
Sunday,5,2,8471795.266666668,8248553.722222222,8817053.474504504,8255078.0,8330147.0,8190745.324324325,8387758
Monday,5,2,8476217.933333334,8249193.844444444,8817053.474504504,8221890.0,8053953.0,8190745.324324325,8637948
Tuesday,5,2,8490086.533333333,8255682.677777777,8817053.474504504,8509398.0,7816117.0,8190745.324324325,8088783
Wednesday,5,2,8476066.033333333,8258712.3,8817053.474504504,8055670.0,8156649.0,8190745.324324325,8148275
Thursday,5,2,8479152.866666667,8258619.255555555,8817053.474504504,8266410.0,7857443.0,8190745.324324325,8682340
Friday,5,2,8493017.2,8267784.777777778,8817053.474504504,8367438.0,7881212.0,8190745.324324325,8879871
Saturday,5,2,8510098.3,8278880.988888889,8817053.474504504,8704248.0,7975949.0,8190745.324324325,8680501
Sunday,5,2,8509306.733333332,8286709.344444444,8817053.474504504,8728816.0,7970632.0,8190745.324324325,8083372
Monday,5,2,8487791.933333334,8287962.011111111,8817053.474504504,8231674.0,7998865.0,8190745.324324325,8517990
Tuesday,6,2,8497335.8,8293730.066666666,8817053.474504504,8278534.0,7748662.0,8190745.324324325,8491801
Wednesday,6,2,8504444.7,8301987.166666667,8817053.474504504,8727522.0,8080043.0,8190745.324324325,9031534
Thursday,6,2,8514578.433333334,8312559.288888888,8817053.474504504,8649710.0,7971011.0,8190745.324324325,8319351
Friday,6,2,8503566.466666667,8316429.733333333,8817053.474504504,8519563.0,8309959.0,8190745.324324325,8553246
Saturday,6,2,8504689.233333332,8319132.922222222,8817053.474504504,8435867.0,7945271.0,8190745.324324325,8534097
Sunday,6,2,8507963.566666666,8325675.433333334,8817053.474504504,8227322.0,8352635.0,8190745.324324325,8462584
Monday,6,2,8515805.633333333,8326897.088888889,8817053.474504504,8383810.0,7861647.0,8190745.324324325,8691699
Tuesday,6,2,8526068.6,8336119.888888889,8817053.474504504,8109287.0,7920726.0,8190745.324324325,8686964
Wednesday,6,2,8545324.5,8344633.644444444,8817053.474504504,8518147.0,7921232.0,8190745.324324325,8550358
Thursday,6,2,8546398.2,8351623.933333334,8817053.474504504,8472640.0,8142874.0,8190745.324324325,8143101
Friday,6,2,8535413.566666666,8351626.455555555,8817053.474504504,8359580.0,7731725.0,8190745.324324325,8645316
Saturday,6,2,8544938.1,8361777.466666667,8817053.474504504,8262562.0,8070687.0,8190745.324324325,8928652
Sunday,6,2,8567141.1,8371310.411111111,8817053.474504504,8503389.0,7825047.0,8190745.324324325,9082265
Monday,6,2,8586436.966666667,8385279.5,8817053.474504504,8498352.0,7920469.0,8190745.324324325,8796515
Tuesday,6,2,8596375.733333332,8395013.344444444,8817053.474504504,9066670.0,7946897.0,8190745.324324325,8629607
Wednesday,6,2,8581806.966666667,8402599.01111111,8817053.474504504,8744235.0,8090998.0,8190745.324324325,8827278
Thursday,6,2,8584575.066666666,8410779.9,8817053.474504504,8688343.0,8415152.0,8190745.324324325,8946278
Friday,6,2,8593172.9,8416681.3,8817053.474504504,8475700.0,8325436.0,8190745.324324325,8390857
Saturday,6,2,8590344.8,8417408.2,8817053.474504504,8471826.0,8105278.0,8190745.324324325,8782778
Sunday,6,2,8600709.866666667,8424935.977777777,8817053.474504504,9020316.0,7562433.0,8190745.324324325,8817338
Monday,6,2,8593943.933333334,8438879.366666667,8817053.474504504,8399861.0,8096085.0,8190745.324324325,8543719
Tuesday,6,2,8598739.2,8443853.077777777,8817053.474504504,8387758.0,8034268.0,8190745.324324325,8590990
Wednesday,6,2,8605513.6,8450038.877777778,8817053.474504504,8637948.0,8050876.0,8190745.324324325,8774391
Thursday,6,2,8610061.7,8458077.933333334,8817053.474504504,8088783.0,8077321.0,8190745.324324325,8913737
Friday,6,2,8637560.166666666,8467371.444444444,8817053.474504504,8148275.0,7999117.0,8190745.324324325,8665876
Saturday,6,2,8654813.533333333,8474779.877777778,8817053.474504504,8682340.0,8082481.0,8190745.324324325,8707038
Sunday,6,2,8655636.8,8481719.4,8817053.474504504,8879871.0,8126444.0,8190745.324324325,8869334
Monday,6,2,8655285.566666666,8489973.733333332,8817053.474504504,8680501.0,7911341.0,8190745.324324325,9186579
Tuesday,6,2,8672154.833333334,8504143.044444444,8817053.474504504,8083372.0,8013013.0,8190745.324324325,8372464
Wednesday,6,2,8681791.233333332,8508136.944444444,8172839.427777777,8517990.0,8353242.0,7564766.0,8721093
Thursday,7,3,8688561.333333334,8512224.177777778,8179263.466666667,8491801.0,8042185.0,7455524.0,8704509
Friday,7,3,8695651.6,8519583.333333334,8186202.272222222,9031534.0,8401675.0,7095414.0,8939614
Saturday,7,3,8692587.6,8525560.433333334,8196447.827777778,8319351.0,8134408.0,7666163.0,9267015
Sunday,7,3,8724176.4,8538144.955555556,8205341.45,8553246.0,8422480.0,7771289.0,8544557
Monday,7,3,8723886.766666668,8539501.366666667,8209637.383333334,8534097.0,8140096.0,7473320.0,8735065
Tuesday,7,3,8730585.7,8546112.133333333,8216647.077777778,8462584.0,8385138.0,7832624.0,8326629
Wednesday,7,3,8726053.866666667,8545462.033333333,8219391.55,8691699.0,8619576.0,7765028.0,8831147
Thursday,7,3,8730702.133333333,8547812.822222222,8225314.433333334,8686964.0,7961949.0,7385245.0,8857992
Friday,7,3,8736403.066666666,8557768.855555555,8233496.361111111,8550358.0,8388608.0,7392087.0,9160117
Saturday,7,3,8756728.366666667,8566341.177777778,8243318.75,8143101.0,8458290.0,7738899.0,8672036
Sunday,7,3,8774359.533333333,8568716.133333333,8248502.844444444,8645316.0,8206730.0,7840830.0,8670423
Monday,7,3,8775196.433333334,8573868.277777778,8253111.694444444,8928652.0,8319338.0,8122546.0,8869283
Tuesday,7,3,8773217.466666667,8579978.777777778,8257260.233333333,9082265.0,8726486.0,7694195.0,8686309
Wednesday,7,3,8760018.933333334,8579532.366666667,8262771.977777778,8796515.0,8342572.0,7200595.0,8654144
Thursday,7,3,8755273.233333332,8582994.277777778,8270847.25,8629607.0,8438884.0,7744470.0,8860853
Friday,7,3,8762981.433333334,8587682.822222222,8277049.377777778,8827278.0,8186918.0,7610648.0,9198488
Saturday,7,3,8775355.1,8598922.48888889,8285870.711111112,8946278.0,8195134.0,7880913.0,8960260
Sunday,7,3,8775821.166666666,8607423.888888888,8291867.083333333,8390857.0,8366630.0,7250032.0,9122667
Monday,7,3,8800214.833333334,8615824.3,8302270.611111111,8782778.0,8282495.0,7666397.0,9138658
Tuesday,7,3,8812077.5,8625337.222222222,8310449.838888889,8817338.0,8641338.0,7742477.0,8987305
Wednesday,7,3,8817743.066666666,8629181.3,8317365.55,8543719.0,8521710.0,7807438.0,8899455
Thursday,7,3,8829600.933333334,8633378.466666667,8323432.311111111,8590990.0,8255078.0,7603625.0,9017914
Friday,7,3,8843831.733333332,8641854.422222223,8331289.472222222,8774391.0,8221890.0,7572947.0,8480182
Saturday,7,3,8834024.766666668,8644724.333333334,8336329.666666667,8913737.0,8509398.0,7598153.0,8603099
Sunday,7,3,8823670.166666666,8645765.455555556,8341912.7,8665876.0,8055670.0,7194687.0,8636410
Monday,7,3,8822687.966666667,8652218.122222222,8349922.272222222,8707038.0,8266410.0,7787109.0,8996817
Tuesday,7,3,8832347.266666668,8660333.755555555,8356642.872222222,8869334.0,8367438.0,7631075.0,9024807
Wednesday,7,3,8837529.7,8667637.855555555,8364385.827777778,9186579.0,8704248.0,7750536.0,9329236
Thursday,7,3,8842284.933333334,8674582.166666666,8373156.383333334,8372464.0,8728816.0,8059526.0,8979426
Friday,7,3,8862517.0,8677366.722222222,8378266.938888889,8721093.0,8231674.0,7838129.0,8909272
Saturday,7,3,8868789.633333333,8684895.58888889,8384217.733333333,8704509.0,8278534.0,7714465.0,8712314
Sunday,8,3,8869049.8,8689715.366666667,8389761.33888889,8939614.0,8727522.0,7766408.0,8861903
Monday,8,3,8866459.433333334,8691208.48888889,8395847.422222223,9267015.0,8649710.0,7832259.0,8913143
Tuesday,8,3,8854663.7,8694135.522222223,8401852.333333334,8544557.0,8519563.0,7506461.0,9223398
Wednesday,8,3,8877291.733333332,8701955.91111111,8411390.872222222,8735065.0,8435867.0,7816477.0,9410437
Thursday,8,3,8899804.133333333,8712784.466666667,8420246.205555556,8326629.0,8227322.0,7360372.0,9212329
Friday,8,3,8929327.466666667,8723728.98888889,8430534.855555555,8831147.0,8383810.0,8039414.0,9062121
Saturday,8,3,8937026.6,8731265.777777778,8436216.561111111,8857992.0,8109287.0,7858632.0,9432522
Sunday,8,3,8956177.6,8745968.388888888,8444960.394444445,9160117.0,8518147.0,7810951.0,9111057
Monday,8,3,8954542.266666668,8752556.277777778,8452183.205555556,8672036.0,8472640.0,7579882.0,8971236
Tuesday,8,3,8964515.6,8758096.233333332,8459912.95,8670423.0,8359580.0,8127696.0,8799249
Wednesday,8,3,8968809.8,8762981.444444444,8463643.8,8869283.0,8262562.0,7748085.0,9127038
Thursday,8,3,8977401.633333333,8772586.733333332,8471304.65,8686309.0,8503389.0,8117805.0,9362940
Friday,8,3,8999956.0,8782137.3,8478222.066666666,8654144.0,8498352.0,7780006.0,9077857
Saturday,8,3,9014079.766666668,8788576.244444445,8485432.35,8860853.0,9066670.0,7916028.0,9413465
Sunday,8,3,9032500.166666666,8792429.522222223,8493751.444444444,9198488.0,8744235.0,7736671.0,8950079
Monday,8,3,9024219.866666667,8794716.677777778,8500492.6,8960260.0,8688343.0,8082781.0,9215173
Tuesday,8,3,9032716.966666667,8800570.344444444,8506783.666666666,9122667.0,8475700.0,7824063.0,9056307
Wednesday,8,3,9030504.966666667,8807021.533333333,8513629.466666667,9138658.0,8471826.0,7761256.0,8968187
Thursday,8,3,9024822.6,8812536.655555556,8520334.638888888,8987305.0,9020316.0,7821879.0,9357610
Friday,8,3,9037166.1,8816284.366666667,8528866.477777777,8899455.0,8399861.0,7760399.0,8971426
Saturday,8,3,9039565.133333333,8822635.08888889,8535594.405555556,9017914.0,8387758.0,8330147.0,9238276
Sunday,8,3,9046910.533333333,8832085.288888888,8540639.566666666,8480182.0,8637948.0,8053953.0,9372279
Monday,8,3,9076647.1,8840244.522222223,8547963.6,8603099.0,8088783.0,7816117.0,9589375
Tuesday,8,3,9109522.966666667,8856917.766666668,8557815.033333333,8636410.0,8148275.0,8156649.0,8961875
Wednesday,8,3,9120371.8,8865957.766666668,8562288.51111111,8996817.0,8682340.0,7857443.0,9160096
Thursday,8,3,9125814.433333334,8871266.166666666,8569525.472222222,9024807.0,8879871.0,7881212.0,9052229
Friday,8,3,9126728.5,8873181.255555555,8576031.122222222,9329236.0,8680501.0,7975949.0,8778271
Saturday,8,3,9108363.0,8874267.58888889,8580488.466666667,8979426.0,8083372.0,7970632.0,9245534
Sunday,8,3,9117233.266666668,8887180.5,8587571.255555555,8909272.0,8517990.0,7998865.0,9384023
Monday,8,3,9133058.3,8896803.08888889,8595266.577777777,8712314.0,8491801.0,7748662.0,9474742
Tuesday,8,3,9158472.566666666,8907724.655555556,8604855.91111111,8861903.0,9031534.0,8080043.0,9189054
Wednesday,9,3,9169377.6,8909474.877777778,8611017.083333334,8913143.0,8319351.0,7971011.0,9167277
Thursday,9,3,9177848.733333332,8918896.277777778,8617663.005555555,9223398.0,8553246.0,8309959.0,9123056
